,0
0,Arizona
1,Colorado
2,Connecticut
3,Indiana
4,Iowa
5,Massachusetts
6,Michigan
7,Minnesota
8,Missouri
9,New Jersey
10,Ohio
11,Oklahoma
12,Utah
13,Vermont
14,Wisconsin
15,Wyoming
